Time,Result,Batch
0,48,49913
0,48,49913
3,54,49913
3,51,49913
6,46,49913
6,46,49913
9,46,49913
9,46,49913
12,43,49913
12,43,49913
18,45,49913
18,45,49913
24,42,49913
24,42,49913
36,42,49913
36,43,49913
0,48,49915
0,48,49915
3,43,49915
3,43,49915
6,43,49915
6,43,49915
9,46,49915
9,44,49915
12,41,49915
12,41,49915
18,44,49915
18,44,49915
24,42,49915
24,42,49915
36,39,49915
36,40,49915
0,48,50037
0,48,50037
3,41,50037
3,41,50037
6,41,50037
6,42,50037
9,43,50037
9,43,50037
12,42,50037
12,42,50037
18,44,50037
18,44,50037
24,43,50037
24,43,50037
36,42,50037
36,42,50037
0,48,50886
0,47,50886
3,40,50886
3,40,50886
6,36,50886
6,36,50886
9,43,50886
9,43,50886
12,43,50886
12,43,50886
18,44,50886
18,44,50886
24,47,50886
24,47,50886
36,40,50886
36,40,50886
0,49,55322
0,49,55322
3,48,55322
3,48,55322
6,46,55322
6,46,55322
9,47,55322
9,47,55322
12,49,55322
12,50,55322
18,44,55322
18,41,55322
24,43,55322
24,43,55322
36,40,55322
36,41,55322
0,50,56046
0,50,56046
3,47,56046
3,47,56046
6,44,56046
6,44,56046
9,39,56046
9,39,56046
12,40,56046
12,41,56046
18,44,56046
18,44,56046
24,44,56046
24,44,56046
36,41,56046
36,41,56046
0,46,59711
0,46,59711
3,39,59711
3,40,59711
6,41,59711
6,41,59711
9,42,59711
9,41,59711
12,44,59711
12,45,59711
18,44,59711
18,44,59711
24,41,59711
24,41,59711
36,39,59711
36,39,59711
0,47,60104
0,47,60104
3,41,60104
3,41,60104
6,49,60104
6,49,60104
9,44,60104
9,44,60104
12,44,60104
12,44,60104
18,42,60104
18,42,60104
24,42,60104
24,41,60104
36,40,60104
36,36,60104
0,48,60305
0,48,60305
3,42,60305
3,43,60305
6,43,60305
6,44,60305
9,44,60305
9,43,60305
12,43,60305
12,42,60305
18,42,60305
18,42,60305
24,39,60305
24,39,60305
36,41,60305
36,40,60305
0,47,61165
0,47,61165
3,44,61165
3,43,61165
6,45,61165
6,45,61165
9,48,61165
9,48,61165
12,46,61165
12,46,61165
18,42,61165
18,44,61165
24,41,61165
24,41,61165
36,37,61165
36,36,61165
0,46,61686
0,46,61686
3,41,61686
3,41,61686
6,44,61686
6,44,61686
9,42,61686
9,42,61686
12,42,61686
12,40,61686
18,37,61686
18,37,61686
24,40,61686
24,40,61686
36,40,61686
36,41,61686
0,47,62016
0,47,62016
3,47,62016
3,48,62016
6,45,62016
6,46,62016
9,44,62016
9,44,62016
12,44,62016
12,44,62016
18,40,62016
18,41,62016
24,35,62016
24,34,62016
36,39,62016
36,38,62016
0,50,65367
0,50,65367
3,48,65367
3,49,65367
6,48,65367
6,48,65367
9,45,65367
9,45,65367
12,44,65367
12,44,65367
18,44,65367
18,44,65367
24,42,65367
24,42,65367
36,.,65367
36,.,65367
0,50,65374
0,50,65374
3,48,65374
3,45,65374
6,44,65374
6,43,65374
9,41,65374
9,41,65374
12,38,65374
12,39,65374
18,40,65374
18,38,65374
24,33,65374
24,35,65374
36,.,65374
36,.,65374
0,49,66208
0,49,66208
3,49,66208
3,49,66208
6,46,66208
6,46,66208
9,47,66208
9,46,66208
12,44,66208
12,44,66208
18,46,66208
18,46,66208
24,44,66208
24,44,66208
36,.,66208
36,.,66208
0,49,67626
0,49,67626
3,51,67626
3,50,67626
6,48,67626
6,47,67626
9,46,67626
9,46,67626
12,37,67626
12,36,67626
18,44,67626
18,44,67626
24,46,67626
24,43,67626
36,.,67626
36,.,67626
